Numéro du groupe,Femmes,Hommes,WCHR,TransitTime
1.0,0,1.0,0.0,00:00:00
2.0,1,0.0,0.0,02:20:00
3.0,1,1.0,0.0,00:55:00
4.0,0,1.0,0.0,00:00:00
5.0,1,0.0,0.0,00:00:00
6.0,1,1.0,0.0,00:55:00
7.0,0,1.0,0.0,00:00:00
8.0,0,2.0,0.0,01:30:00
9.0,0,1.0,0.0,00:00:00
10.0,0,1.0,0.0,00:00:00
11.0,1,0.0,0.0,02:10:00
12.0,0,1.0,0.0,02:10:00
13.0,1,0.0,0.0,01:10:00
14.0,1,1.0,0.0,00:55:00
15.0,0,1.0,0.0,00:00:00
16.0,1,0.0,0.0,02:20:00
17.0,1,0.0,0.0,00:00:00
18.0,1,0.0,0.0,00:00:00
19.0,1,0.0,0.0,02:15:00
20.0,1,0.0,0.0,00:00:00
21.0,0,1.0,0.0,01:20:00
22.0,0,1.0,0.0,00:00:00
23.0,1,0.0,0.0,00:00:00
24.0,0,1.0,0.0,01:20:00
25.0,0,1.0,0.0,00:00:00
26.0,0,2.0,0.0,01:20:00
27.0,1,1.0,0.0,00:00:00
28.0,19,0.0,0.0,01:00:00
29.0,1,0.0,0.0,00:00:00
30.0,1,0.0,0.0,01:35:00
31.0,0,1.0,0.0,02:00:00
32.0,0,1.0,0.0,00:00:00
33.0,1,0.0,0.0,01:10:00
34.0,2,0.0,0.0,01:15:00
35.0,1,0.0,0.0,00:00:00
36.0,1,1.0,0.0,01:20:00
37.0,1,1.0,0.0,01:40:00
38.0,1,0.0,0.0,01:20:00
39.0,0,1.0,0.0,00:00:00
40.0,0,1.0,0.0,00:00:00
41.0,0,1.0,0.0,01:00:00
42.0,1,0.0,0.0,01:45:00
43.0,1,1.0,0.0,01:45:00
44.0,1,1.0,0.0,01:45:00
45.0,1,0.0,0.0,00:00:00
46.0,0,1.0,0.0,00:00:00
47.0,3,0.0,0.0,01:20:00
48.0,1,0.0,0.0,00:00:00
49.0,0,1.0,0.0,02:10:00
50.0,0,1.0,0.0,00:00:00
51.0,1,0.0,0.0,00:00:00
52.0,0,1.0,0.0,00:00:00
53.0,0,1.0,0.0,00:00:00
54.0,0,1.0,0.0,01:35:00
55.0,1,1.0,0.0,01:10:00
56.0,1,0.0,0.0,00:00:00
57.0,1,0.0,0.0,00:00:00
58.0,0,1.0,0.0,00:00:00
59.0,0,1.0,0.0,02:20:00
60.0,1,0.0,0.0,00:00:00
61.0,0,1.0,0.0,00:00:00
62.0,2,0.0,0.0,00:45:00
63.0,1,1.0,0.0,01:15:00
64.0,1,0.0,0.0,01:50:00
65.0,0,2.0,0.0,01:10:00
66.0,1,1.0,0.0,01:20:00
67.0,1,1.0,0.0,01:05:00
68.0,1,0.0,0.0,00:00:00
69.0,0,1.0,0.0,01:30:00
70.0,0,1.0,0.0,00:00:00
71.0,1,0.0,0.0,00:00:00
72.0,1,1.0,0.0,00:45:00
73.0,1,0.0,0.0,00:00:00
74.0,1,0.0,0.0,00:00:00
75.0,1,0.0,0.0,00:00:00
76.0,1,1.0,0.0,01:10:00
77.0,1,0.0,0.0,01:10:00
78.0,0,1.0,0.0,00:00:00
79.0,2,0.0,0.0,01:25:00
80.0,0,2.0,0.0,00:55:00
81.0,0,1.0,0.0,02:20:00
82.0,0,1.0,0.0,01:30:00
83.0,1,0.0,0.0,00:00:00
84.0,0,1.0,0.0,00:00:00
85.0,1,1.0,0.0,01:00:00
86.0,1,0.0,0.0,02:20:00
87.0,0,1.0,0.0,00:00:00
88.0,1,0.0,0.0,00:00:00
89.0,0,1.0,0.0,02:20:00
90.0,1,0.0,0.0,00:00:00
91.0,0,2.0,0.0,00:55:00
92.0,0,1.0,0.0,00:00:00
93.0,1,0.0,0.0,00:00:00
94.0,0,1.0,0.0,01:10:00
95.0,1,0.0,0.0,00:50:00
96.0,0,1.0,0.0,00:00:00
97.0,0,1.0,0.0,02:20:00
98.0,1,0.0,0.0,01:00:00
99.0,0,1.0,0.0,02:20:00
100.0,0,1.0,0.0,02:20:00
101.0,0,1.0,0.0,02:15:00
102.0,1,0.0,0.0,02:00:00
103.0,1,0.0,0.0,00:00:00
104.0,0,1.0,0.0,00:00:00
105.0,0,1.0,0.0,01:30:00
106.0,1,0.0,0.0,02:25:00
107.0,2,0.0,0.0,01:00:00
108.0,1,0.0,0.0,03:30:00
109.0,3,1.0,0.0,01:05:00
110.0,1,0.0,0.0,01:10:00
111.0,0,1.0,0.0,02:40:00
112.0,0,2.0,0.0,01:55:00
113.0,0,1.0,0.0,00:00:00
114.0,0,1.0,0.0,01:30:00
115.0,3,0.0,0.0,01:00:00
116.0,1,0.0,0.0,05:25:00
117.0,2,0.0,0.0,01:05:00
118.0,1,0.0,0.0,01:35:00
119.0,0,1.0,0.0,01:35:00
120.0,0,1.0,0.0,00:00:00
121.0,1,1.0,0.0,01:25:00
,97,76.0,0.0,
,173,,,
