Numéro du groupe,Femmes,Hommes,WCHR,TransitTime
1.0,1,2.0,0.0,00:00:00
2.0,0,1.0,0.0,01:00:00
3.0,1,1.0,0.0,02:45:00
4.0,1,1.0,1.0,00:00:00
5.0,3,0.0,0.0,00:00:00
6.0,1,1.0,0.0,00:00:00
7.0,1,1.0,0.0,01:25:00
8.0,0,1.0,0.0,00:00:00
9.0,2,2.0,0.0,01:00:00
10.0,1,0.0,0.0,00:00:00
11.0,1,0.0,0.0,00:00:00
12.0,0,2.0,0.0,00:00:00
13.0,0,1.0,0.0,00:00:00
14.0,0,3.0,0.0,00:00:00
15.0,2,0.0,0.0,00:00:00
16.0,1,0.0,0.0,01:00:00
17.0,1,0.0,0.0,00:00:00
18.0,1,1.0,0.0,00:00:00
19.0,0,1.0,0.0,00:00:00
20.0,1,1.0,0.0,00:00:00
21.0,0,1.0,0.0,00:00:00
22.0,0,1.0,0.0,00:00:00
23.0,2,1.0,0.0,00:00:00
24.0,1,1.0,0.0,00:00:00
25.0,0,0.0,0.0,01:00:00
26.0,2,0.0,0.0,00:00:00
27.0,0,1.0,0.0,00:00:00
28.0,0,1.0,0.0,00:00:00
29.0,0,1.0,0.0,01:25:00
30.0,1,1.0,0.0,01:25:00
31.0,2,2.0,0.0,00:00:00
32.0,0,5.0,0.0,00:00:00
33.0,0,4.0,0.0,00:00:00
34.0,1,1.0,0.0,01:25:00
35.0,1,1.0,0.0,00:00:00
36.0,2,0.0,0.0,01:00:00
37.0,0,1.0,0.0,00:00:00
38.0,0,1.0,0.0,00:00:00
39.0,1,0.0,1.0,00:00:00
40.0,1,0.0,1.0,00:00:00
41.0,0,1.0,0.0,00:00:00
42.0,0,1.0,0.0,02:45:00
43.0,5,0.0,0.0,00:00:00
44.0,2,0.0,0.0,01:25:00
45.0,0,1.0,0.0,01:25:00
46.0,1,2.0,0.0,00:00:00
47.0,1,0.0,0.0,00:00:00
48.0,1,0.0,0.0,00:00:00
49.0,0,0.0,1.0,00:00:00
50.0,1,0.0,0.0,00:00:00
51.0,0,1.0,0.0,00:00:00
52.0,1,0.0,0.0,00:00:00
53.0,1,0.0,0.0,00:00:00
,45,48.0,4.0,
,97,,,
